n ,L      ,Ms       ,T      ,b_1    ,b_2      ,epsiolon ,N
c2,1.92   ,3.5e-3   ,750    ,0.25   ,7.5e-5   ,7.5e-6   ,523
c4,0.62   ,3.93e-3  ,650.8  ,1.1    ,2.7e-4   ,3.82e-5  ,140
d4,0.543  ,3.86e-3  ,703.5  ,1.25   ,2.7e-4   ,3.82e-5  ,140
e4,0.466  ,3,81e-3  ,750.8  ,1.5    ,4.7e-4   ,4.12e-5  ,100
f4,0.458  ,3.51e-3  ,756.8  ,1.7    ,4.9e-4   ,4.29e-5  ,70
g4,0.406  ,3.31e-3  ,801.8  ,1.8    ,5.7e-4   ,4.92e-5  ,90
a4,0.3576 ,3.062e-3 ,809.9  ,1.3    ,2.5e-4   ,5.12e-5  ,49
b4,0.2876 ,3.068e-3 ,819.0  ,1.3    ,2.5e-4   ,5.12e-5  ,45
g5,0.165  ,2.53e-3  ,973.8  ,1.8    ,35.7e-4  ,4.92e-5  ,55
c7,0.09   ,0.467e-3 ,750    ,9.17   ,2.1e-3   ,867e-4   ,5
g3,0.925  ,4.9e-3   ,670.8  ,1.8    ,5.7e-4   ,4.92e-5  ,150